Nazwisko	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
SyCa	-	-	-	-	-	-	93	66	82	57	47	80	80	72	82	82	74	86	-	-	-
SzWr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79	-
SłRu	-	-	-	-	-	-	-	72	74	62	81	67	67	61	66	66	32	31	34	33	30
SłSm	-	-	-	16	13	9	9	12	11	11	3	6	6	-	7	7	-	-	-	-	-
TaBa	-	-	-	-	101	60	60	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TaBr	93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TaCh	28	12	13	12	16	13	13	13	16	13	8	8	21	21	22	25	25	19	43	52	48
TaGo	-	-	-	-	-	82	82	77	87	-	-	-	-	-	-	-	-	-	-	-	-
TaKuzro	-	81	49	64	58	83	83	91	-	-	-	-	-	-	-	-	-	-	-	-	-
TaLi	22	30	25	13	17	18	18	19	-	-	-	-	-	-	-	-	-	-	-	-	-
TaNi	-	51	40	50	-	-	-	-	-	48	76	-	-	-	-	-	-	-	-	-	-
TaSe	-	-	-	-	-	92	92	76	-	-	-	-	-	-	-	-	-	-	-	-	-
TaWe	29	25	68	60	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TaWi	58	43	69	65	67	53	53	53	56	59	-	-	-	-	-	-	-	-	-	-	-
TeMo	-	-	-	-	-	-	-	-	-	-	-	50	50	-	52	52	55	-	29	40	38
TeMozro	-	-	24	42	42	47	47	65	80	89	66	57	-	47	-	-	-	26	-	-	-
ToBi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	7	5	2
ToCz	42	46	100	-	134	-	-	82	96	-	100	78	78	93	46	46	66	89	90	-	92
ToDo	-	-	-	-	-	-	-	-	-	-	-	15	15	10	-	-	-	-	13	16	35
ToDozro	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	20	18	12	-	-	-
ToFu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	65	60
ToGo	89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ToGu	-	-	-	-	-	-	-	-	-	-	-	13	13	11	13	13	8	15	11	12	18
ToKo	-	97	97	-	126	146	146	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ToKu	-	-	-	-	-	-	-	-	62	91	87	-	-	-	-	-	-	-	-	-	-
ToMi	-	-	-	-	-	117	117	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ToMo	-	-	-	-	137	145	145	90	-	-	-	-	-	-	-	-	-	-	-	-	-
ToSi	24	61	90	99	87	127	127	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ToZa	-	-	-	-	-	-	-	-	-	-	-	58	58	97	60	60	86	-	-	-	-
ToiDoKu	-	-	-	-	106	111	111	86	-	-	-	-	-	-	-	-	-	-	-	-	-
UrGr	-	-	-	-	124	107	107	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UrSi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	96	-	-	-
ViWe	-	-	-	-	-	-	-	-	-	-	-	92	92	-	98	98	94	94	-	-	-
WaJo	-	-	76	87	109	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WaKi	-	-	-	-	-	-	-	-	57	27	35	-	-	-	-	-	-	-	-	-	-
WaRa	-	-	93	-	128	142	142	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WaSz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	-
WaWi	-	96	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WiBi	66	57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WiCh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88	-	-
WiDu	-	-	-	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WiHe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	94	94	80	82	-	-	72
WiKo	-	-	-	-	131	128	128	98	-	-	-	-	-	-	-	-	-	-	-	-	-
WiLi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	40	38
WiLizro	-	-	-	-	-	-	-	27	31	21	24	28	28	27	28	28	29	31	-	-	-
WiMa	48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WiOs	-	98	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WiSa	96	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WiTeHe	-	-	-	-	-	-	-	-	-	-	-	100	100	-	-	-	-	-	-	-	-
WiWi	90	95	72	82	71	78	78	78	-	-	-	-	-	-	-	-	-	-	-	-	-
WiWo	-	-	-	-	100	122	122	100	-	-	-	-	-	-	-	-	-	-	-	-	-
WiWł	-	-	-	73	91	135	135	-	-	-	-	56	56	44	53	53	49	53	55	-	-
WiZa	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WiŻy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	93
WoCi	82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WoFu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	65	60
WoMo	-	-	-	84	99	138	138	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WoMr	64	50	43	37	45	54	54	54	60	61	47	42	-	-	-	-	-	-	-	-	-
WoPl-Pl	87	76	82	85	96	88	88	66	77	78	52	56	96	96	53	-	-	-	-	-	-
WoRy	-	-	-	-	-	148	148	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WoSz	-	-	-	-	138	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WoWazżo	-	-	-	-	-	126	126	59	70	94	94	-	-	90	-	-	-	-	-	-	-
WoiDoSo	74	83	64	46	43	50	50	49	78	86	81	66	62	62	54	70	70	52	-	-	-
WoŚm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	-	-
WłOw	39	38	41	-	121	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WłWł	-	-	99	-	104	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZbBe	-	-	-	-	-	-	71	92	93	-	79	-	-	-	-	-	-	-	-	-	-
ZbGr	99	94	-	-	147	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZbJa	45	29	34	55	41	55	55	41	47	30	38	29	19	19	14	16	16	15	20	20	14
ZbJu	-	-	80	69	76	80	80	74	63	77	75	65	44	44	39	-	-	-	18	-	-
ZbJuzro	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	42	38	17	-	-	-
ZbKo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	21	21
ZbKozro	26	49	30	28	32	33	33	39	40	33	23	23	16	16	15	17	17	16	16	-	-
ZbMo	18	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZbNi	8	19	11	30	25	26	26	25	43	48	24	20	14	14	12	14	14	10	17	16	20
ZbOp	-	-	-	-	-	-	-	-	52	68	59	-	-	-	-	-	-	-	-	-	-
ZbPr	61	58	52	44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZbSozro	-	-	-	-	113	113	113	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZbWa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83	77	79
ZbWo	-	-	-	-	-	-	-	-	-	-	-	98	98	100	-	-	-	-	12	16	-
ZbiDaFi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69	-	-
ZbiMaJu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11
ZbiRySk	-	-	66	62	73	84	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZdKa	-	-	-	-	-	61	61	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZdSa	37	63	89	98	112	90	90	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZdSt	-	-	-	-	-	-	-	73	75	63	82	68	68	62	67	67	33	31	34	33	30
ZeDu	-	-	-	-	-	-	-	-	-	-	-	57	57	96	58	58	81	-	-	-	-
ZeSr	57	42	33	38	44	43	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZeZi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46	42	38
ZeZizro	-	-	-	-	123	137	137	-	-	-	-	83	83	85	78	78	44	46	-	-	-
ZySo	4	5	3	3	3	2	2	4	3	2	2	2	2	2	2	2	2	2	2	-	-
ZyiAnOl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	-	-	-
ZyŻu	-	-	-	-	-	-	-	-	-	-	-	59	59	-	-	-	-	-	-	-	-
ŁuNo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8
ŁuWe	-	-	-	-	-	-	-	-	-	-	-	73	73	66	79	79	70	83	87	98	97
