Nazwisko	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
DaSo	62	52	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DaWo	83	92	71	54	75	-	-	-	-	90	75	-	-	89	-	-	-	-	-	-	-
DaiKaMz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61	-	-	-	-
DoKu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	5
DoZa	63	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DoiSeKu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-
DoiWoSo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	76	76	58	-
EdŁu	-	-	-	-	-	-	-	-	-	-	-	49	49	-	49	49	50	57	48	94	96
EliBoKa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-
EliJaFi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52	-	-	-
EliJaTa	-	-	-	76	89	100	100	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EliToCh	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EwiRyLe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69	-	-	87
EwŻu	50	55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FrJo	-	-	76	87	109	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GeEf	-	-	-	-	-	-	-	-	-	-	-	7	7	4	8	8	-	-	-	-	-
GrAn	55	39	81	90	54	67	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GrDz	-	-	-	71	74	93	93	-	-	-	95	-	-	95	100	100	-	-	-	-	-
GrGr	13	35	15	17	24	28	28	34	42	53	55	53	46	46	51	43	43	41	49	34	72
GrJa	-	-	-	15	12	8	8	11	10	10	6	5	5	-	6	6	-	-	-	-	-
GrKi	-	-	-	-	-	-	-	99	-	-	-	-	-	-	-	-	-	-	-	-	-
GrKu	-	-	-	-	-	-	-	12	46	29	19	11	11	9	10	10	11	19	18	23	24
GrSt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	93	-	-	-
GriBoWi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	71	-	-	-	-
GriRoKa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	-	-	-
GrĆw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	52	49
HeKa	-	-	86	88	110	147	147	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HeKu	92	99	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HeRu	-	-	-	-	-	-	-	-	-	26	-	25	25	16	23	23	25	25	30	27	-
HeSt	33	24	19	20	21	15	15	18	33	39	32	21	22	20	21	21	17	22	22	25	26
HeiPaKo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	90	90	97	-	-	-	-
HeŁu	-	-	94	-	136	149	149	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IgKl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88	84
IgPe	59	36	39	43	50	57	57	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IrEr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	72	70	67
IrEriHeOr	-	93	67	59	77	87	87	85	97	83	70	62	63	63	68	69	69	59	72	-	-
IwiWaKu	-	-	-	-	-	-	-	-	-	-	-	-	-	94	-	-	-	-	-	-	-
JaBi	71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JaCi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69
JaDo	-	-	-	-	-	-	-	15	17	34	-	-	-	-	-	-	-	-	-	-	-
JaDr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	86	88
JaFu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	65	60
JaGo	69	73	-	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JaKa	32	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
